País,ISO3,Continente,Hemisfério,Grupos de Desenvolvimento Humano,Regiões em Desenvolvimento do UNDP,IDH Rank (2021),IDG Rank (2021)
Afghanistan,AFG,Ásia,Norte,Low,SA,180.0,167.0
United Arab Emirates,ARE,Ásia,Norte,Very High,AS,26.0,11.0
Armenia,ARM,Ásia,Norte,High,ECA,85.0,53.0
Azerbaijan,AZE,Ásia,Norte,High,ECA,91.0,70.0
Bangladesh,BGD,Ásia,Norte,Medium,SA,129.0,131.0
Bahrain,BHR,Ásia,Norte,Very High,AS,35.0,46.0
Brunei,BRN,Ásia,Norte,Very High,EAP,51.0,61.0
Bhutan,BTN,Ásia,Norte,Medium,SA,127.0,98.0
China,CHN,Ásia,Norte,High,EAP,79.0,48.0
Cyprus,CYP,Ásia,Norte,Very High,,29.0,35.0
Georgia,GEO,Ásia,Norte,Very High,ECA,63.0,66.0
Hong Kong,HKG,Ásia,Norte,Very High,,4.0,
Indonesia,IDN,Ásia,Southern Hemisphere,High,EAP,114.0,110.0
India,IND,Ásia,Norte,Medium,SA,132.0,122.0
Iran,IRN,Ásia,Norte,High,SA,76.0,115.0
Iraq,IRQ,Ásia,Norte,Medium,AS,121.0,145.0
Israel,ISR,Ásia,Norte,Very High,,22.0,22.0
Jordan,JOR,Ásia,Norte,High,AS,102.0,118.0
Japan,JPN,Ásia,Norte,Very High,,19.0,22.0
Kazakhstan,KAZ,Ásia,Norte,Very High,ECA,56.0,41.0
Kyrgyzstan,KGZ,Ásia,Norte,Medium,ECA,118.0,87.0
Cambodia,KHM,Ásia,Norte,Medium,EAP,146.0,116.0
South Korea,KOR,Ásia,Norte,Very High,,19.0,15.0
Kuwait,KWT,Ásia,Norte,Very High,AS,50.0,74.0
Lao,LAO,Ásia,Norte,Medium,EAP,140.0,120.0
Lebanon,LBN,Ásia,Norte,High,AS,112.0,108.0
Sri Lanka,LKA,Ásia,Norte,High,SA,73.0,92.0
Maldives,MDV,Ásia,Norte,High,SA,90.0,83.0
Myanmar,MMR,Ásia,Norte,Medium,EAP,149.0,125.0
Mongolia,MNG,Ásia,Norte,High,EAP,96.0,76.0
Malaysia,MYS,Ásia,Norte,Very High,EAP,62.0,57.0
Nepal,NPL,Ásia,Norte,Medium,SA,143.0,113.0
Oman,OMN,Ásia,Norte,Very High,AS,54.0,72.0
Pakistan,PAK,Ásia,Norte,Low,SA,161.0,135.0
Philippines,PHL,Ásia,Norte,Medium,EAP,116.0,101.0
"Palestine, State of",PSE,Ásia,Norte,High,AS,106.0,
Qatar,QAT,Ásia,Norte,Very High,AS,42.0,54.0
Saudi Arabia,SAU,Ásia,Norte,Very High,AS,35.0,59.0
Singapore,SGP,Ásia,Norte,Very High,EAP,12.0,7.0
Syrian Arab Republic,SYR,Ásia,Norte,Medium,AS,150.0,119.0
Thailand,THA,Ásia,Norte,Very High,EAP,66.0,79.0
Tajikistan,TJK,Ásia,Norte,Medium,ECA,122.0,68.0
Turkmenistan,TKM,Ásia,Norte,High,ECA,91.0,43.0
Timor-Leste,TLS,Ásia,Southern Hemisphere,Medium,EAP,140.0,89.0
Turkey,TUR,Ásia,Norte,Very High,ECA,48.0,65.0
Uzbekistan,UZB,Ásia,Norte,High,ECA,101.0,56.0
Viet Nam,VNM,Ásia,Norte,High,EAP,115.0,71.0
Yemen,YEM,Ásia,Norte,Low,AS,183.0,170.0
